location,Type of House,Price of m2,Land Area,Total Price Number,Total Price
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,60,38625.0,38.62 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,80,51500.0,51.5 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,100,64375.0,64.38 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,120,77250.0,77.25 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,140,90125.0,90.12 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,160,103000.0,103.0 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,180,115875.0,115.88 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,200,128750.0,128.75 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,220,141625.0,141.62 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,240,154500.0,154.5 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,260,167375.0,167.38 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,280,180250.0,180.25 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,300,193125.0,193.12 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,320,206000.0,206.0 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,340,218875.0,218.88 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,360,231750.0,231.75 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,380,244625.0,244.62 tỷ
"Bến Nghé, Quận 1",Nhà mặt tiền,643.75,400,257500.0,257.5 tỷ
"Bến Nghé, Quận 1",Biệt thự,1.12,200,224.00000000000003,224 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,220,246.40000000000003,246 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,240,268.8,269 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,260,291.20000000000005,291 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,280,313.6,314 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,300,336.00000000000006,336 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,320,358.40000000000003,358 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,340,380.8,381 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,360,403.20000000000005,403 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,380,425.6,426 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,400,448.00000000000006,448 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,420,470.40000000000003,470 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,440,492.80000000000007,493 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,460,515.2,515 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,480,537.6,538 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,500,560.0,560 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,520,582.4000000000001,582 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,540,604.8000000000001,605 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,560,627.2,627 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,580,649.6,650 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,600,672.0000000000001,672 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,620,694.4000000000001,694 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,640,716.8000000000001,717 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,660,739.2,739 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,680,761.6,762 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,700,784.0000000000001,784 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,720,806.4000000000001,806 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,740,828.8000000000001,829 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,760,851.2,851 triệu
"Bến Nghé, Quận 1",Biệt thự,1.12,780,873.6000000000001,874 triệu
